Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"'Ethnocracy' and its discontents: Minorities, protests, and the Israeli polity","Yiftachel, O",,,,CRITICAL INQUIRY,SUM 2000,2000,26,4,,,,725,756,,10.1086/448989,,,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,1,1,2,2,0,4,3,5,1,1,4,0
"Nothing to declare: Identity, shame, and the Lower Middle Class","Felski, R",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2000,2000,115,1,,,,33,45,,10.2307/463229,,,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,2,3,4,1,1,1,1,3,5,0,1
Hearing voices in narrative texts (Discourse in fiction),"Aczel, R",,,,NEW LITERARY HISTORY,SUM 1998,1998,29,3,,,,467,500,,,,,34,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,4,1,0,4,2,1,6,3,7,1,0
A theory of resonance + Literature and temporal-extension,"Dimock, WC",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1997,1997,112,5,,,,1060,1071,,10.2307/463483,,,34,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,1,1,0,2,2,2,1,1,1,4,0,2,8,0
"The voids of Berlin (German reunification, architecture)","Huyssen, A",,,,CRITICAL INQUIRY,FAL 1997,1997,24,1,,,,57,81,,10.1086/448867,,,34,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,3,1,2,1,0,1,1,3,2,5,3,3,2,1
"NOTES ON THE PHANTOM, A COMPLEMENT TO FREUD METAPSYCHOLOGY","ABRAHAM, N",,,,CRITICAL INQUIRY,WIN 1987,1987,13,2,,,,287,292,,10.1086/448390,,,34,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,2,1,0,2,1,1,2,0,2,0,1,3,0,1,1,1,0,2,5,3,0
ME AND MY SHADOW,"TOMPKINS, J",,,,NEW LITERARY HISTORY,FAL 1987,1987,19,1,,,,169,178,,10.2307/469310,,,34,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,3,2,1,1,1,1,1,2,0,0,1,0,0,1,1,1,2,3,1,0,1,2,0
"ORGASM, GENERATION, AND THE POLITICS OF REPRODUCTIVE-BIOLOGY","LAQUEUR, T",,,,REPRESENTATIONS,SPR 1986,1986,,14,,,,1,41,,,,,34,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,2,0,3,2,0,0,1,1,1,0,0,2,0,2,0,2,0,2,1,1,0,2,0,3,0
HISTORICAL PLURALISM,"WHITE, H",,,,CRITICAL INQUIRY,SPR 1986,1986,12,3,,,,480,493,,10.1086/448346,,,34,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,4,0,2,1,1,1,2,0,2,0,1,0,0,0,0,0,1,3,3,1,0,1,1,3,0
THE FATHER AND THE BRIDE IN SHAKESPEARE,"BOOSE, LE",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1982,1982,97,3,,,,325,347,,10.2307/462226,,,34,0.97,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,1,4,1,2,0,0,0,0,3,1,4,0,0,0,1,0,1,1,0,1,1,0,1,3,1,1,0,0,0
DISCOVERING ORAL PERFORMANCE AND MEASURED VERSE IN AMERICAN-INDIAN NARRATIVE,"HYMES, D",,,,NEW LITERARY HISTORY,1977,1977,8,3,,,,431,457,,10.2307/468294,,,34,0.85,0,0,0,0,0,0,2,1,2,2,1,3,3,1,1,2,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,2,1,1,0,1,0
Guest Column: Queer Ecology,"Morton, Timothy",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2010,2010,125,2,,,,273,282,,,,,33,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,7,7,6,0
Living in prognosis: Toward an elegiac politics,"Lochlann Jain, Sarah",,,,REPRESENTATIONS,SPR 2007,2007,,98,,,,77,92,,10.1525/rep.2007.98.77,,,33,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,4,7,4,10,0
SPARING THE ROD - DISCIPLINE AND FICTION IN ANTEBELLUM AMERICA,"BRODHEAD, RH",,,,REPRESENTATIONS,WIN 1988,1988,,21,,,,67,96,,,,,33,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,1,1,1,1,2,2,1,3,0,3,4,3,1,3,1,0
AGAINST THEORY-2 - HERMENEUTICS AND DECONSTRUCTION,"KNAPP, S; MICHAELS, WB",,,,CRITICAL INQUIRY,FAL 1987,1987,14,1,,,,49,68,,10.1086/448427,,,33,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,1,1,5,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,2,0,1,1,1,3,0
"KISS-ME-WITH-THOSE-RED-LIPS - GENDER AND INVERSION IN STOKER,BRAM 'DRACULA'","CRAFT, C",,,,REPRESENTATIONS,1984,1984,,8,,,,107,133,,,,,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,0,2,0,3,4,3,4,3,3,2,0
PHILOSOPHY AS A KIND OF WRITING - ESSAY ON DERRIDA,"RORTY, R",,,,NEW LITERARY HISTORY,1978,1978,10,1,,,,141,160,,10.2307/468309,,,33,0.85,0,0,0,0,0,0,0,1,1,2,1,0,4,1,3,1,2,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,1,1,0
BOUNDARIES OF NARRATIVE,"GENETTE, G",,,,NEW LITERARY HISTORY,1976,1976,8,1,,,,1,13,,10.2307/468611,,,33,0.8,0,0,0,0,0,1,1,0,3,2,2,1,2,1,1,0,0,0,2,2,0,0,0,1,0,3,0,0,0,0,1,0,0,0,3,0,1,1,1,1,0,2,1,0
"ACTION, ACTION DESCRIPTION, AND NARRATIVE","VANDIJK, TA",,,,NEW LITERARY HISTORY,1975,1975,6,2,,,,273,294,,10.2307/468420,,,33,0.79,0,0,0,0,1,1,1,0,2,1,0,0,2,2,3,1,1,0,1,0,0,0,0,1,2,1,1,1,0,0,0,1,1,0,0,0,3,0,1,1,3,1,0,0
The changing profession - The hitchhiker's guide to ecocriticism,"Heise, Ursula K.",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 2006,2006,121,2,,,,503,516,,10.1632/003081206X129684,,,32,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,3,6,6,4,1,0
"Holy landscape: Israel, Palestine, and the American wilderness","Mitchell, WJT",,,,CRITICAL INQUIRY,WIN 2000,2000,26,2,,,,193,223,,10.1086/448964,,,32,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,3,1,0,4,3,1,1,2,5,2,2,0
Speaking objects: The circulation of stories in eighteenth-century prose fiction,"Flint, C",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 1998,1998,113,2,,,,212,226,,10.2307/463361,,,32,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,2,1,3,3,6,6,1,3,1,0
"ETIQUETTE, INTERDEPENDENCE, AND SOCIABILITY IN 17TH-CENTURY SCIENCE","BIAGIOLI, M",,,,CRITICAL INQUIRY,WIN 1996,1996,22,2,,,,193,238,,10.1086/448789,,,32,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,4,1,0,0,2,0,2,0,1,4,2,3,0,3,2,0,1
ECHO + WOMEN AND NARCISSISM,"SPIVAK, GC",,,,NEW LITERARY HISTORY,WIN 1993,1993,24,1,,,,17,43,,10.2307/469267,,,32,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,1,0,0,0,0,3,3,1,2,2,4,1,4,0,2,1
DECONSTRUCTION AS 2ND-ORDER OBSERVING + COMMENTARY ON THE PRESUPPOSITION OF TRADITIONAL ONTOLOGICAL METAPHYSICS AND ITS LOGIC,"LUHMANN, N",,,,NEW LITERARY HISTORY,FAL 1993,1993,24,4,,,,763,782,,10.2307/469391,,,32,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,2,0,0,1,1,2,3,1,1,1,2,2,2,2,5,0
THE NOVELIZATION OF VOICE IN EARLY AFRICAN AMERICAN NARRATIVE,"ANDREWS, WL",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1990,1990,105,1,,,,23,34,,10.2307/462340,,,32,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,2,0,3,0,1,1,1,0,2,2,0,2,2,2,3,3,1,1,0
"PRESIDENTIAL-ADDRESS 1986 - THE TRIUMPH OF THEORY, THE RESISTANCE TO READING, AND THE QUESTION OF THE MATERIAL BASE","MILLER, JH",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAY 1987,1987,102,3,,,,281,291,,10.2307/462476,,,32,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,3,2,2,0,0,1,1,0,0,0,0,0,1,4,0,0,0,2,1,0,0,1,1,1,1,0,0
"THE VIETNAM-VETERANS-MEMORIAL AND THE WASHINGTON-MALL, PHILOSOPHICAL THOUGHTS ON POLITICAL ICONOGRAPHY","GRISWOLD, CL",,,,CRITICAL INQUIRY,SUM 1986,1986,12,4,,,,688,719,,10.1086/448361,,,32,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,1,1,2,1,2,0,0,2,0,1,3,0,1,2,2,2,0,1,3,0,1,0
GOTHIC SUBLIMITY,"MORRIS, DB",,,,NEW LITERARY HISTORY,1985,1985,16,2,,,,299,319,,10.2307/468749,,,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2,0,2,1,1,1,0,0,1,0,0,1,1,1,3,4,0,2,2,2,1
"FROM PATRIA TO MATRIA - BROWNING,ELIZABETH,BARRETT RISORGIMENTO","GILBERT, SM",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1984,1984,99,2,,,,194,211,,10.2307/462161,,,32,0.97,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,1,1,0,0,2,0,1,0,2,3,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,1,1,1,0
DECONSTRUCTION AND CIRCUMVENTION,"RORTY, R",,,,CRITICAL INQUIRY,1984,1984,11,1,,,,1,23,,10.1086/448273,,,32,0.97,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,2,4,1,0,2,1,1,2,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0
Against Literary Darwinism,"Kramnick, Jonathan",,,,CRITICAL INQUIRY,WIN 2011,2011,37,2,,,,315,347,,10.1086/657295,,,31,5.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,8,6,5,1
Orientalism and the Institution of World Literatures,"Mufti, Aamir R.",,,,CRITICAL INQUIRY,SPR 2010,2010,36,3,,,,458,493,,,,,31,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,5,7,2
Complicity and collusion in the mediation of everyday life,"Silverstone, R",,,,NEW LITERARY HISTORY,FAL 2002,2002,33,4,,,,761,780,,10.1353/nlh.2002.0045,,,31,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,1,5,2,2,6,4,0
"Red Kant, or the persistence of the third 'Critique' in Adorno and Jameson","Kaufman, R",,,,CRITICAL INQUIRY,SUM 2000,2000,26,4,,,,682,724,,10.1086/448988,,,31,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,4,0,3,2,1,3,3,2,1,1,1
"Going public: Shopping, street harassment, and streetwalking in late Victorian London","Walkowitz, JR",,,,REPRESENTATIONS,SPR 1998,1998,,62,,,,1,30,,,,,31,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,3,0,1,0,1,1,5,5,4,2,2,3,0
"OPTICS AND POWER IN THE NOVEL + SELTZER,MARK AND BENDER,JAMES AND THEIR CRITICAL-STUDIES OF THE PANOPTICON","COHN, D",,,,NEW LITERARY HISTORY,WIN 1995,1995,26,1,,,,3,20,,10.1353/nlh.1995.0004,,,31,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,2,2,1,3,1,1,3,3,1,0,2,1,0,1,3,0
"WHO IS THAT MASKED WOMAN - OR, THE ROLE OF GENDER IN FANON BLACK-SKIN,-WHITE-MASKS","BERGNER, G",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1995,1995,110,1,,,,75,88,,10.2307/463196,,,31,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,3,0,1,2,1,2,1,2,1,0,3,2,1,2,0
"FICTIONS OF THE POSE, FACING THE GAZE IN EARLY-MODERN PORTRAITURE","BERGER, H",,,,REPRESENTATIONS,SPR 1994,1994,,46,,,,87,120,,,,,31,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,2,1,1,3,1,4,4,5,3,0,0
"TAKING THE PENCIL OUT OF GODS HAND - ART, NATURE, AND THE FACE-PAINTING DEBATE IN EARLY-MODERN ENGLAND","DOLAN, FE",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 1993,1993,108,2,,,,224,239,,10.2307/462594,,,31,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,2,0,1,0,1,0,1,1,0,1,4,2,1,4,2,2,1,0,1
TORTURE AND TRUTH IN RENAISSANCE ENGLAND,"HANSON, E",,,,REPRESENTATIONS,SPR 1991,1991,,34,,,,53,84,,,,,31,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,2,1,1,2,3,3,2,1,4,3,1,2,0,0
"LESSONS FROM THE LITERATORY, HOW TO HISTORICISE AUTHORSHIP","SAUNDERS, D; HUNTER, I",,,,CRITICAL INQUIRY,SPR 1991,1991,17,3,,,,479,509,,10.1086/448594,,,31,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,2,1,0,0,0,0,1,1,6,3,2,1,2,0,2,0,0,1,1,0
CANONICITY + CANONS OF ENGLISH AND AMERICAN LITERATURE,"HARRIS, WV",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 1991,1991,106,1,,,,110,121,,10.2307/462827,,,31,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,0,2,2,2,1,1,1,2,2,1,1,2,1,1,0,0,0,1,1,1,0
"PRIVATE IRONY AND PUBLIC DECENCY, RORTY,RICHARD NEW PRAGMATISM","MCCARTHY, T",,,,CRITICAL INQUIRY,WIN 1990,1990,16,2,,,,355,370,,10.1086/448537,,,31,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,4,2,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,3,1,3,2,0,0
"LOCAL TRANSCENDENCE, CULTURAL CRITICISM, POSTMODERNISM, AND THE ROMANTICISM OF DETAIL","LIU, A",,,,REPRESENTATIONS,FAL 1990,1990,,32,,,,75,113,,,,,31,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,2,1,1,2,2,2,4,5,5,1,0,0,0,0
"ENLIGHTENMENT EPISTEMOLOGY AND THE LAWS OF AUTHORSHIP IN REVOLUTIONARY FRANCE, 1777-1793","HESSE, C",,,,REPRESENTATIONS,SPR 1990,1990,,30,,,,109,137,,,,,31,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,2,2,0,3,1,5,0,4,2,1,2,0,1,2,0
"VESALIUS,ANDREAS AND THE ANATOMY OF ANTIQUE SCULPTURE","HARCOURT, G",,,,REPRESENTATIONS,WIN 1987,1987,,17,,,,28,61,,,,,31,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,2,3,0,0,1,0,3,1,3,2,0,1,3,2,5,0,0
TEXTS AND LUMPS + PHILOSOPHY OF SCIENCE AND LITERARY-THEORY,"RORTY, R",,,,NEW LITERARY HISTORY,1985,1985,17,1,,,,1,16,,10.2307/468973,,,31,0.97,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,2,0,0,2,1,0,1,1,3,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,3,1,0
LAFAYETTE ELLIPSES - THE PRIVILEGES OF ANONYMITY,"DEJEAN, J",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1984,1984,99,5,,,,884,902,,10.2307/462142,,,31,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,1,1,0,1,3,2,0,2,1,0,0,0,0,0,2,0,1,1,1,0,1,1,0,1,1,1,0
MARIE-DE-FRANCE POETICS OF SILENCE - THE IMPLICATIONS FOR A FEMININE TRANSLATION,"FREEMAN, MA",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1984,1984,99,5,,,,860,883,,10.2307/462141,,,31,0.94,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,2,1,0,0,2,0,0,0,3,1,1,0,1,0,0,0,1,2,1,2,2,0,2,0,3,0,0
"SMITH,ADAM AND THE THEATRICALITY OF MORAL SENTIMENTS","MARSHALL, D",,,,CRITICAL INQUIRY,1984,1984,10,4,,,,592,613,,10.1086/448266,,,31,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,3,0,0,1,1,2,0,1,1,0,1,0,3,0,0,4,5,2,0,1
FLAWED CRYSTALS - JAMES THE 'GOLDEN BOWL' AND LITERATURE AS MORAL-PHILOSOPHY,"NUSSBAUM, MC",,,,NEW LITERARY HISTORY,1983,1983,15,1,,,,25,50,,10.2307/468992,,,31,0.91,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,2,2,1,1,1,1,2,0,1,1,1,1,1
MARGINAL GLOSS,"LIPKING, L",,,,CRITICAL INQUIRY,1977,1977,3,4,,,,609,655,,10.1086/447910,,,31,0.77,0,0,0,0,0,2,0,1,0,2,1,0,1,0,0,1,1,1,0,1,1,1,3,0,1,2,1,0,2,0,0,1,2,1,1,0,0,1,2,0,1,0,0,0
TOWARD AN ORAL POETICS,"TEDLOCK, D",,,,NEW LITERARY HISTORY,1977,1977,8,3,,,,507,519,,10.2307/468297,,,31,0.77,0,0,0,0,0,0,1,1,0,2,0,2,3,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,1,0,1,3,0
"If You're So Smart, Why Are You under Surveillance? Universities, Neoliberalism, and New Public Management","Lorenz, Chris",,,,CRITICAL INQUIRY,SPR 2012,2012,38,3,,,,599,629,,10.1086/664553,,,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,13,1
Benjamin's aura (Walter Benjamin),"Hansen, Miriam Bratu",,,,CRITICAL INQUIRY,WIN 2008,2008,34,2,,,,336,375,,,,,30,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,1,8,3,8,1
Why Lyric?,"Culler, Jonathan",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,JAN 2008,2008,123,1,,,,201,206,,10.1632/pmla.2008.123.1.201,,,30,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,3,9,6,2,0
"Criminal obsessions, after foucault: Postcoloniality, policing, and the metaphysics of disorder","Comaroff, J; Comaroff, J",,,,CRITICAL INQUIRY,SUM 2004,2004,30,4,,,,800,824,,10.1086/423773,,,30,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,3,5,4,3,1,0
What ails feminist criticism? A second opinion,"Wiegman, R",,,,CRITICAL INQUIRY,WIN 1999,1999,25,2,,,,362,379,,10.1086/448925,,,30,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2,2,3,1,2,1,0,1,2,2,3,1,1,0,0
"GENDER IDEOLOGY, GENDER CHANGE, THE CASE OF MARIE-GERMAIN","PARKER, P",,,,CRITICAL INQUIRY,WIN 1993,1993,19,2,,,,337,364,,10.1086/448677,,,30,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1,1,0,1,1,1,3,1,1,0,2,0,2,2,4,0,3,0
"BLACK WRITING, WHITE READING, RACE AND THE POLITICS OF FEMINIST INTERPRETATION","ABEL, E",,,,CRITICAL INQUIRY,SPR 1993,1993,19,3,,,,470,498,,10.1086/448683,,,30,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,3,2,3,1,1,0,0,2,0,1,1,1,0,0,1,2,0,0,0,0
A LANGUAGE POLICY FOR LANCASTRIAN ENGLAND,"FISHER, JH",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1992,1992,107,5,,,,1168,1180,,10.2307/462872,,,30,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,2,0,0,3,2,1,2,5,0,3,1,0,2,0,1,1,1,0
"BRITISH CANNIBALS, CONTEMPLATION OF AN EVENT IN THE DEATH AND RESURRECTION OF COOK,JAMES, EXPLORER","OBEYESEKERE, G",,,,CRITICAL INQUIRY,SUM 1992,1992,18,4,,,,630,654,,10.1086/448650,,,30,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,2,3,1,0,0,0,2,1,2,3,1,1,1,2,1,0,1,0,0
"THE SITUATION OF THE LOOKER-ON - GENDER, NARRATION, AND GAZE IN 'WUTHERING HEIGHTS'","NEWMAN, B",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,OCT 1990,1990,105,5,,,,1029,1041,,10.2307/462732,,,30,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,2,1,1,0,1,2,1,0,1,1,0,0,2,0,2,0,0,0,0,0
A VAMPIRE IN THE MIRROR - THE SEXUALITY OF 'DRACULA',"STEVENSON, JA",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,MAR 1988,1988,103,2,,,,139,149,,10.2307/462430,,,30,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,3,1,3,3,0,0,0,0,1,1,0,1,0,0,1,0,1,1,2,0,4,1,1,0
THE SCRIPT IN THE MARKETPLACE,"LOEWENSTEIN, J",,,,REPRESENTATIONS,1985,1985,,12,,,,101,114,,,,,30,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,0,2,1,3,1,0,1,2,3,2,3,2,1,0,1,0
THE RISE OF MODERN SCIENCE AND THE GENESIS OF ROMANTICISM,"EICHNER, H",,,,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,1982,1982,97,1,,,,8,30,,10.2307/462237,,,30,0.86,0,0,0,0,0,0,0,0,0,5,1,1,1,1,4,0,1,0,1,1,2,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,2,0,2,0,0,0
WHAT NOVELS CAN DO THAT FILMS CANT (AND VICE VERSA),"CHATMAN, S",,,,CRITICAL INQUIRY,1980,1980,7,1,,,,121,140,,10.1086/448091,,,30,0.81,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,0,0,1,1,3,3,4,1,4,0
COSTUMES OF THE MIND - TRANSVESTISM AS METAPHOR IN MODERN LITERATURE,"GILBERT, SM",,,,CRITICAL INQUIRY,1980,1980,7,2,,,,391,417,,10.1086/448105,,,30,0.81,0,0,0,0,0,0,0,0,3,0,1,2,2,1,0,3,1,0,0,0,3,2,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,2,1,0,1,0
REFLECTIONS ON LAS 'MENINAS' - PARADOX LOST,"SNYDER, J; COHEN, T",,,,CRITICAL INQUIRY,1980,1980,7,2,,,,429,447,,10.1086/448107,,,30,0.81,0,0,0,0,0,0,0,0,1,2,1,1,1,2,0,0,1,1,2,0,1,1,0,3,0,1,1,1,0,0,0,0,1,0,1,2,0,2,0,2,1,1,0,0
